3 2 11 // magic number - today's date
#
# this file gives the vibration, rotation, and energy, of all 
# levels within the ground electronic state of molecular hydrogen
# The energies are in atomic units.  Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# this is the elec=6 level in the internal bookkeeping
#
# NB - data on KE are not complete - set to zero when absent
#
# vib rot ener D- e state
# v  	j	 diss tot 	kin Enrgy(eV)
0	1	2.08E-01	8.85E-01
0	2	1.75E-01	8.78E-01
0	3	1.36E-01	8.63E-01
0	4	1.05E-01	8.48E-01
0	5	9.59E-02	8.44E-01
0	6	1.02E-01	8.53E-01
0	7	1.64E-01	8.72E-01
0	8	1.39E+00	8.78E-01
0	9	1.20E+03	8.74E-01
0	10	1.62E+00	8.52E-01
0	11	1.62E+00	0.00E+00
0	12	1.91E+00	0.00E+00
0	13	5.37E+01	0.00E+00
0	14	2.12E+00	0.00E+00
0	15	9.61E-01	0.00E+00
0	16	3.02E+00	0.00E+00
0	17	5.18E+00	0.00E+00
0	18	1.04E+01	0.00E+00
0	19	6.66E+00	0.00E+00
0	20	2.00E+02	0.00E+00
0	21	4.81E+02	0.00E+00
0	22	8.16E+02	0.00E+00
0	23	7.17E+02	0.00E+00
0	24	4.02E+03	0.00E+00
0	25	5.66E+04	0.00E+00
1	1	2.78E+04	9.62E-01
1	2	8.64E+01	9.34E-01
1	3	1.83E+01	8.99E-01
1	4	8.25E+00	4.37E-01
1	5	5.09E+00	7.51E-01
1	6	2.67E+00	7.18E-01
1	7	1.03E+01	7.10E-01
1	8	7.89E+01	7.30E-01
1	9	2.15E+02	7.46E-01
1	10	2.76E+01	7.42E-01
1	11	5.70E-01	0.00E+00
1	12	8.34E-01	0.00E+00
1	13	1.45E+01	0.00E+00
1	14	3.03E+01	0.00E+00
1	15	5.35E+01	0.00E+00
1	16	8.35E+01	0.00E+00
1	17	5.72E+01	0.00E+00
1	18	2.01E+03	0.00E+00
1	19	4.25E+03	0.00E+00
1	20	1.09E+04	0.00E+00
1	21	5.40E+03	0.00E+00
1	22	2.34E+04	0.00E+00
1	23	3.19E+05	0.00E+00
1	24	3.12E+05	0.00E+00
1	25	6.26E+05	0.00E+00
2	1	2.43E+02	1.26E+00
2	2	1.04E+02	1.27E+00
2	3	5.49E+01	1.26E+00
2	4	4.31E+01	1.57E-01
2	5	9.50E+01	1.16E+00
2	6	4.48E+02	1.10E+00
2	7	2.28E+00	0.00E+00
2	8	4.00E+00	0.00E+00
2	9	9.91E+00	0.00E+00
2	10	3.02E+01	0.00E+00
2	11	1.79E+02	0.00E+00
2	12	2.88E+02	0.00E+00
2	13	5.50E+02	0.00E+00
2	14	3.23E+02	0.00E+00
2	15	5.54E+02	0.00E+00
2	16	1.20E+04	0.00E+00
2	17	2.17E+04	0.00E+00
2	18	3.89E+04	0.00E+00
2	19	2.33E+04	0.00E+00
